country,tooltip
Morocco,"Une solution paie complete vers le web"
Senegal,"on line Payroll and HR Services"
Côte d'Ivoire,"Une solution paie complete vers le web"
Togo
Cameroon,ok
Gabon,"Full support for your payroll processes"
Mauritius
Rwanda,"HR and Payroll services over the web"
Kenya
Ethiopia
Tanzania
Congo Brazzaville
Botswana
Namibia


